Trace_Number,Case_Number,time:timestamp,concept:name,vehicleClass,totalPaymentAmount,lifecycle:transition,dismissal,article,points,expense,notificationType,lastSent,paymentAmount,amount,org:resource
A1,0,2006-07-24T00:00:00+02:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,35.0,561
A1,1,2006-12-05T00:00:00+01:00,Send Fine,,,complete,,,,11.0,,,,,
A100,0,2006-08-02T00:00:00+02:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,35.0,561
A100,1,2006-12-12T00:00:00+01:00,Send Fine,,,complete,,,,11.0,,,,,
A100,2,2007-01-15T00:00:00+01:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A100,3,2007-03-16T00:00:00+01:00,Add penalty,,,complete,,,,,,,,71.5,
A100,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10000,0,2007-03-09T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,561
A10000,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10000,2,2007-08-02T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10000,3,2007-10-01T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10000,4,2008-09-09T00:00:00+02:00,Payment,,87.0,complete,,,,,,,87.0,,
A10001,0,2007-03-19T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10001,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10001,2,2007-07-25T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10001,3,2007-08-02T00:00:00+02:00,Insert Date Appeal to Prefecture,,,complete,,,,,,,,,
A10001,4,2007-09-23T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10001,5,2007-09-24T00:00:00+02:00,Send Appeal to Prefecture,,,complete,#,,,,,,,,
A10004,0,2007-03-20T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10004,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10004,2,2007-07-24T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10004,3,2007-09-22T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10004,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10005,0,2007-03-20T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10005,1,2007-03-21T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10007,0,2007-03-20T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10007,1,2007-03-23T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10008,0,2007-03-20T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10008,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10008,2,2007-08-02T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10008,3,2007-10-01T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10008,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10009,0,2007-03-20T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,7,0,,,,,22.0,537
A10009,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10009,2,2007-07-23T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10009,3,2007-09-21T00:00:00+02:00,Add penalty,,,complete,,,,,,,,44.0,
A10009,4,2007-10-01T00:00:00+02:00,Payment,,35.0,complete,,,,,,,35.0,,
A10009,5,2007-10-31T00:00:00+01:00,Payment,,57.0,complete,,,,,,,22.0,,
A1001,0,2006-08-02T00:00:00+02:00,Create Fine,A,0.0,complete,NIL,7,0,,,,,21.0,550
A1001,1,2006-12-12T00:00:00+01:00,Send Fine,,,complete,,,,11.0,,,,,
A1001,2,2006-12-31T00:00:00+01:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A1001,3,2007-03-01T00:00:00+01:00,Add penalty,,,complete,,,,,,,,42.5,
A1001,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10010,0,2007-03-20T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10010,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10010,2,2007-07-23T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10010,3,2007-09-21T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10010,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10011,0,2007-03-21T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10011,1,2007-09-29T00:00:00+02:00,Send Fine,,,complete,,,,18.6,,,,,
A10011,2,2007-10-12T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10011,3,2007-12-11T00:00:00+01:00,Add penalty,,,complete,,,,,,,,74.0,
A10011,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10012,0,2007-03-21T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10012,1,2007-08-02T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10015,0,2007-03-21T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10015,1,2007-08-02T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10015,2,2007-08-19T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10015,3,2007-10-18T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10015,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10018,0,2007-03-22T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,7,0,,,,,22.0,537
A10018,1,2007-08-02T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10018,2,2007-08-09T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10018,3,2007-10-08T00:00:00+02:00,Add penalty,,,complete,,,,,,,,44.0,
A10018,4,2007-10-08T00:00:00+02:00,Payment,,35.0,complete,,,,,,,35.0,,
A10019,0,2007-03-22T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10019,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10019,2,2007-07-23T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10019,3,2007-09-21T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10019,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A1002,0,2006-08-05T00:00:00+02:00,Create Fine,A,0.0,complete,NIL,7,0,,,,,21.0,550
A1002,1,2006-12-12T00:00:00+01:00,Send Fine,,,complete,,,,11.0,,,,,
A1002,2,2007-01-03T00:00:00+01:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A1002,3,2007-03-04T00:00:00+01:00,Add penalty,,,complete,,,,,,,,42.5,
A1002,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10021,0,2007-03-22T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10021,1,2007-08-02T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10021,2,2007-08-09T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10021,3,2007-10-08T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10021,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10022,0,2007-03-22T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,7,0,,,,,22.0,537
A10022,1,2007-03-28T00:00:00+02:00,Payment,,22.0,complete,,,,,,,22.0,,
A10023,0,2007-03-22T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10023,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10023,2,2007-07-25T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10023,3,2007-09-23T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10023,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10024,0,2007-03-22T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10024,1,2007-03-26T00:00:00+02:00,Payment,,36.0,complete,,,,,,,36.0,,
A10025,0,2007-03-22T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10025,1,2007-08-02T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10025,2,2007-08-09T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10025,3,2007-10-08T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10025,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
